(-24, -30)
(-23, -30)
(-23, -31)
(-23, -32)
(-22, -33)
(-21, -33)
(-21, -32)


(-53, -33)
(-52, -35)
(-52, -33)
(-51, -45)
(-51, -44)
(-51, -37)
(-51, -36)
(-51, -23)
(-51, -22)
(-50, -46)
(-50, -42)
(-50, -37)
(-50, -36)
(-50, -23)
(-50, -22)
(-49, -57)
(-49, -56)
(-49, -47)
(-49, -41)
(-49, -37)
(-49, -36)
(-48, -57)
(-48, -56)
(-48, -47)
(-48, -43)
(-48, -41)
(-48, -40)
(-48, -35)
(-48, -33)
(-47, -47)
(-47, -41)
(-47, -33)
(-46, -46)
(-46, -42)
(-45, -45)
(-45, -44)

(-19, -44)
(-19, -43)
(-18, -45)
(-18, -41)
(-17, -46)
(-17, -40)
(-17, -32)
(-16, -56)
(-16, -55)
(-16, -46)
(-16, -42)
(-16, -40)
(-16, -39)
(-16, -34)
(-16, -32)
(-15, -56)
(-15, -55)
(-15, -46)
(-15, -40)
(-15, -36)
(-15, -35)
(-14, -45)
(-14, -41)
(-14, -36)
(-14, -35)
(-14, -22)
(-14, -21)
(-13, -44)
(-13, -43)
(-13, -36)
(-13, -35)
(-13, -22)
(-13, -21)
(-12, -34)
(-12, -32)
(-11, -32)
