(-24, -30)
(-23, -30)
(-23, -31)
(-23, -32)
(-22, -33)
(-21, -33)
(-21, -32)

(16, -30)
(17, -30)
(17, -31)
(17, -32)
(18, -33)
(19, -33)
(19, -32)


(-53, -33)
(-52, -35)
(-52, -33)
(-51, -45)
(-51, -44)
(-51, -37)
(-51, -36)
(-51, -23)
(-51, -22)
(-50, -46)
(-50, -42)
(-50, -37)
(-50, -36)
(-50, -23)
(-50, -22)
(-49, -57)
(-49, -56)
(-49, -47)
(-49, -41)
(-49, -37)
(-49, -36)
(-48, -57)
(-48, -56)
(-48, -47)
(-48, -43)
(-48, -41)
(-48, -40)
(-48, -35)
(-48, -33)
(-47, -47)
(-47, -41)
(-47, -33)
(-46, -46)
(-46, -42)
(-45, -45)
(-45, -44)

(-19, -44)
(-19, -43)
(-18, -45)
(-18, -41)
(-17, -46)
(-17, -40)
(-17, -32)
(-16, -56)
(-16, -55)
(-16, -46)
(-16, -42)
(-16, -40)
(-16, -39)
(-16, -34)
(-16, -32)
(-15, -56)
(-15, -55)
(-15, -46)
(-15, -40)
(-15, -36)
(-15, -35)
(-14, -45)
(-14, -41)
(-14, -36)
(-14, -35)
(-14, -22)
(-14, -21)
(-13, -44)
(-13, -43)
(-13, -36)
(-13, -35)
(-13, -22)
(-13, -21)
(-12, -34)
(-12, -32)
(-11, -32)

(21, -44)
(21, -43)
(22, -45)
(22, -41)
(23, -46)
(23, -40)
(23, -32)
(24, -56)
(24, -55)
(24, -46)
(24, -42)
(24, -40)
(24, -39)
(24, -34)
(24, -32)
(25, -56)
(25, -55)
(25, -46)
(25, -40)
(25, -36)
(25, -35)
(26, -45)
(26, -41)
(26, -36)
(26, -35)
(26, -22)
(26, -21)
(27, -44)
(27, -43)
(27, -36)
(27, -35)
(27, -22)
(27, -21)
(28, -34)
(28, -32)
(29, -32)

(61, -44)
(61, -43)
(62, -45)
(62, -41)
(63, -46)
(63, -40)
(63, -32)
(64, -56)
(64, -55)
(64, -46)
(64, -42)
(64, -40)
(64, -39)
(64, -34)
(64, -32)
(65, -56)
(65, -55)
(65, -46)
(65, -40)
(65, -36)
(65, -35)
(66, -45)
(66, -41)
(66, -36)
(66, -35)
(66, -22)
(66, -21)
(67, -44)
(67, -43)
(67, -36)
(67, -35)
(67, -22)
(67, -21)
(68, -34)
(68, -32)
(69, -32)
